"id";"name";"type";"title";"info";"foto"
1;"Harry Potter and the Philosopher's Stone";"kitap";"Harry Potter 1";"J.K. Rowling'un büyücülük maceraları";""
2;"To Kill a Mockingbird";"kitap";"Mockingbird'ı Öldürmek";"Harper Lee'nin Amerikan edebiyatının klasiklerinden biri";""
3;"1984";"kitap";"1984";"George Orwell'un totaliter bir gelecek vizyonu";""
4;"The Catcher in the Rye";"kitap";"Çavdar Tarlasında Çocuklar";"J.D. Salinger'in ergenlik döneminin simgesel romanı";""
5;"Pride and Prejudice";"kitap";"Gurur ve Önyargı";"Jane Austen'ın İngiliz edebiyatının klasiklerinden biri";""
6;"The Great Gatsby";"kitap";"Büyük Gatsby";"F. Scott Fitzgerald'ın 1920'lerin Amerika'sında yaşam ve aşkı anlattığı romanı";""
7;"Moby-Dick";"kitap";"Moby-Dick";"Herman Melville'in bir balina avcısının hikayesi";""
8;"The Alchemist";"kitap";"Simyacı";"Paulo Coelho'nun kişisel arayış ve keşif hikayesi";""
9;"Crime and Punishment";"kitap";"Suç ve Ceza";"Fyodor Dostoevsky'nin bir suçlunun vicdan azabı ve kefaret arayışını anlattığı romanı";""
10;"The Odyssey";"kitap";"Odyssia";"Homer'ın antik Yunan mitolojisi ve macerası";""
11;"The Hunger Games";"kitap";"Açlık Oyunları";"Suzanne Collins'in bir distopya dünyasında hayatta kalma mücadelesi veren karakterleri anlattığı romanı";""
12;"The Road";"kitap";"Yol";"Cormac McCarthy'nin baba ve oğlunun hayatta kalma mücadelesini anlattığı romanı";""
13;"Don Quixote";"kitap";"Don Kişot";"Miguel de Cervantes'in macera ve hayal gücü dolu romanı";""
14;"One Hundred Years of Solitude";"kitap";"Yüzyıllık Yalnızlık";"Gabriel Garcia Marquez'in büyüleyici bir aile hikayesi";""
15;"The Picture of Dorian Gray";"kitap";"Dorian Gray'ın Portresi";"Oscar Wilde'ın güzelliğin ve çürümenin sembolik hikayesi";""
16;"The Little Prince";"kitap";"Küçük Prens";"Antoine de Saint-Exupéry'nin büyük insanlık temalarını içeren çocuk kitabı";""
17;"The Adventures of Sherlock Holmes";"kitap";"Sherlock Holmes Maceraları";"Arthur Conan Doyle'un ünlü dedektifin maceralarını anlattığı serisi";""
18;"The Lord of the Rings";"kitap";"Yüzüklerin Efendisi";"J.R.R. Tolkien'in Orta Dünya maceralarını konu alan serisi";""
19;"War and Peace";"kitap";"Savaş ve Barış";"Leo Tolstoy'un Napolyon'un Rusya seferini anlattığı epik romanı";""
20;"The Grapes of Wrath";"kitap";"Gazap Üzümleri";"John Steinbeck'in bir ailenin büyük buhran dönemindeki hayat mücadelesini anlattığı romanı";""
21;"The Shawshank Redemption";"film";"Esaretin Bedeli";"Frank Darabont'un suç ve dram türündeki unutulmaz filmi";""
22;"The Godfather";"film";"Baba";"Francis Ford Coppola'nın mafya ve suç dünyasını anlattığı klasik filmi";""
23;"The Dark Knight";"film";"Kara Şövalye";"Christopher Nolan'ın süper kahraman ve aksiyon dolu filmi";""
24;"Forrest Gump";"film";"Forrest Gump";"Robert Zemeckis'in dram ve romantizm dolu filmi";""
25;"The Lord of the Rings: The Return of the King";"film";"Yüzüklerin Efendisi: Kralın Dönüşü";"Peter Jackson'ın fantastik ve macera dolu filmi";""
26;"Inception";"film";"Başlangıç";"Christopher Nolan'ın bilim kurgu ve gerilim dolu filmi";""
27;"Fight Club";"film";"Dövüş Kulübü";"David Fincher'ın dram ve gerilim türündeki etkileyici filmi";""
28;"Pulp Fiction";"film";"Ucuz Roman";"Quentin Tarantino'nun suç ve drama türündeki unutulmaz filmi";""
29;"The Matrix";"film";"Matrix";"Lana Wachowski, Lilly Wachowski'nin bilim kurgu ve aksiyon dolu filmi";""
30;"The Silence of the Lambs";"film";"Kuzuların Sessizliği";"Jonathan Demme'nin gerilim ve suç türündeki ünlü filmi";""
31;"Schindler's List";"film";"Schindler'in Listesi";"Steven Spielberg'ün dram ve tarih dolu filmi";""
32;"The Green Mile";"film";"Yeşil Yol";"Frank Darabont'un dram ve fantastik türündeki filmi";""
33;"The Godfather Part II";"film";"Baba 2";"Francis Ford Coppola'nın devam filmi ve mafya dünyasını anlattığı klasik filmi";""
34;"Harry Potter and the Philosopher's Stone";"kitap";"Harry Potter 1";"J.K. Rowling'un büyücülük maceraları";""
35;"To Kill a Mockingbird";"kitap";"Mockingbird'ı Öldürmek";"Harper Lee'nin Amerikan edebiyatının klasiklerinden biri";""
36;"1984";"kitap";"1984";"George Orwell'un totaliter bir gelecek vizyonu";""
37;"The Catcher in the Rye";"kitap";"Çavdar Tarlasında Çocuklar";"J.D. Salinger'in ergenlik döneminin simgesel romanı";""
38;"Pride and Prejudice";"kitap";"Gurur ve Önyargı";"Jane Austen'ın İngiliz edebiyatının klasiklerinden biri";""
39;"The Great Gatsby";"kitap";"Büyük Gatsby";"F. Scott Fitzgerald'ın 1920'lerin Amerika'sında yaşam ve aşkı anlattığı romanı";""
40;"Moby-Dick";"kitap";"Moby-Dick";"Herman Melville'in bir balina avcısının hikayesi";""
41;"The Alchemist";"kitap";"Simyacı";"Paulo Coelho'nun kişisel arayış ve keşif hikayesi";""
42;"Crime and Punishment";"kitap";"Suç ve Ceza";"Fyodor Dostoevsky'nin bir suçlunun vicdan azabı ve kefaret arayışını anlattığı romanı";""
43;"The Odyssey";"kitap";"Odyssia";"Homer'ın antik Yunan mitolojisi ve macerası";""
44;"The Hunger Games";"kitap";"Açlık Oyunları";"Suzanne Collins'in bir distopya dünyasında hayatta kalma mücadelesi veren karakterleri anlattığı romanı";""
45;"The Road";"kitap";"Yol";"Cormac McCarthy'nin baba ve oğlunun hayatta kalma mücadelesini anlattığı romanı";""
46;"Don Quixote";"kitap";"Don Kişot";"Miguel de Cervantes'in macera ve hayal gücü dolu romanı";""
47;"One Hundred Years of Solitude";"kitap";"Yüzyıllık Yalnızlık";"Gabriel Garcia Marquez'in büyüleyici bir aile hikayesi";""
48;"The Picture of Dorian Gray";"kitap";"Dorian Gray'ın Portresi";"Oscar Wilde'ın güzelliğin ve çürümenin sembolik hikayesi";""
49;"The Little Prince";"kitap";"Küçük Prens";"Antoine de Saint-Exupéry'nin büyük insanlık temalarını içeren çocuk kitabı";""
50;"The Adventures of Sherlock Holmes";"kitap";"Sherlock Holmes Maceraları";"Arthur Conan Doyle'un ünlü dedektifin maceralarını anlattığı serisi";""
51;"The Lord of the Rings";"kitap";"Yüzüklerin Efendisi";"J.R.R. Tolkien'in Orta Dünya maceralarını konu alan serisi";""
52;"War and Peace";"kitap";"Savaş ve Barış";"Leo Tolstoy'un Napolyon'un Rusya seferini anlattığı epik romanı";""
53;"The Grapes of Wrath";"kitap";"Gazap Üzümleri";"John Steinbeck'in bir ailenin büyük buhran dönemindeki hayat mücadelesini anlattığı romanı";""
54;"Bohemian Rhapsody";"müzik";"Bohemian Rhapsody";"Queen'in efsanevi şarkısı";""
55;"Stairway to Heaven";"müzik";"Stairway to Heaven";"Led Zeppelin'in klasik şarkısı";""
56;"Hotel California";"müzik";"Hotel California";"Eagles'ın unutulmaz şarkısı";""
57;"Imagine";"müzik";"Imagine";"John Lennon'ın barış mesajı veren şarkısı";""
58;"Smells Like Teen Spirit";"müzik";"Smells Like Teen Spirit";"Nirvana'nın ikonik şarkısı";""
59;"Hey Jude";"müzik";"Hey Jude";"The Beatles'ın efsanevi şarkısı";""
60;"Like a Rolling Stone";"müzik";"Like a Rolling Stone";"Bob Dylan'ın başyapıtı";""
61;"Boogie Wonderland";"müzik";"Boogie Wonderland";"Earth, Wind & Fire'ın dans parçası";""
62;"Sweet Child O' Mine";"müzik";"Sweet Child O' Mine";"Guns N' Roses'ın unutulmaz şarkısı";""
63;"Yesterday";"müzik";"Yesterday";"The Beatles'ın nostaljik şarkısı";""
64;"Billie Jean";"müzik";"Billie Jean";"Michael Jackson'ın klasik pop şarkısı";""
65;"Thriller";"müzik";"Thriller";"Michael Jackson'ın efsanevi albümünden bir şarkı";""
66;"Bohemian Like You";"müzik";"Bohemian Like You";"The Dandy Warhols'un enerjik şarkısı";""
67;"Losing My Religion";"müzik";"Losing My Religion";"R.E.M.'in etkileyici şarkısı";""
68;"Dancing Queen";"müzik";"Dancing Queen";"ABBA'nın dans parçası";""
69;"Let It Be";"müzik";"Let It Be";"The Beatles'ın umut dolu şarkısı";""
70;"Smells Like Teen Spirit";"müzik";"Smells Like Teen Spirit";"Nirvana'nın başyapıtı";""
71;"Hallelujah";"müzik";"Hallelujah";"Leonard Cohen'ın duygusal şarkısı";""
72;"Bohemian Rhapsody";"müzik";"Bohemian Rhapsody";"Queen'in efsanevi şarkısı";""
73;"Stairway to Heaven";"müzik";"Stairway to Heaven";"Led Zeppelin'in klasik şarkısı";""
74;"Hotel California";"müzik";"Hotel California";"Eagles'ın unutulmaz şarkısı";""
75;"Imagine";"müzik";"Imagine";"John Lennon'ın barış mesajı veren şarkısı";""
76;"Smells Like Teen Spirit";"müzik";"Smells Like Teen Spirit";"Nirvana'nın başyapıtı";""
77;"Hey Jude";"müzik";"Hey Jude";"The Beatles'ın efsanevi şarkısı";""
78;"Like a Rolling Stone";"müzik";"Like a Rolling Stone";"Bob Dylan'ın başyapıtı";""
79;"Boogie Wonderland";"müzik";"Boogie Wonderland";"Earth, Wind & Fire'ın dans parçası";""
80;"Sweet Child O' Mine";"müzik";"Sweet Child O' Mine";"Guns N' Roses'ın unutulmaz şarkısı";""
81;"Yesterday";"müzik";"Yesterday";"The Beatles'ın nostaljik şarkısı";""
82;"Billie Jean";"müzik";"Billie Jean";"Michael Jackson'ın klasik pop şarkısı";""
83;"Thriller";"müzik";"Thriller";"Michael Jackson'ın efsanevi albümünden bir şarkı";""
84;"Bohemian Like You";"müzik";"Bohemian Like You";"The Dandy Warhols'un enerjik şarkısı";""
85;"Losing My Religion";"müzik";"Losing My Religion";"R.E.M.'in etkileyici şarkısı";""
86;"Dancing Queen";"müzik";"Dancing Queen";"ABBA'nın dans parçası";""
87;"Let It Be";"müzik";"Let It Be";"The Beatles'ın umut dolu şarkısı";""
88;"Hallelujah";"müzik";"Hallelujah";"Leonard Cohen'ın duygusal şarkısı";""
89;"The Impact of Climate Change on Biodiversity";"makale";"Climate Change and Biodiversity";"A detailed analysis of how climate change affects various ecosystems and species.";""
90;"Artificial Intelligence in Healthcare";"makale";"AI Applications in Healthcare";"Exploring the use of AI technologies such as machine learning and deep learning in medical diagnosis and treatment.";""
91;"Cybersecurity Threats in the Digital Age";"makale";"Digital Age Cybersecurity Threats";"An overview of common cybersecurity threats faced by organizations and individuals in today's digital landscape.";""
92;"The Future of Renewable Energy";"makale";"Renewable Energy Trends";"Examining the latest trends and innovations in renewable energy sources like solar and wind power.";""
93;"The Evolution of E-commerce";"makale";"E-commerce Evolution";"A historical perspective on how e-commerce has evolved over the years and its impact on global markets.";""
94;"The Role of Blockchain in Finance";"makale";"Blockchain Technology in Finance";"Discussing the potential of blockchain technology to revolutionize traditional financial systems and transactions.";""
95;"Data Privacy in the Age of Big Data";"makale";"Big Data and Privacy";"Analyzing the challenges and solutions related to data privacy and security in an era of big data analytics.";""
96;"The Psychology of Decision Making";"makale";"Decision Making Psychology";"Exploring the cognitive biases and factors that influence human decision-making processes.";""
97;"The Future of Work: Remote vs. Office";"makale";"Remote Work Trends";"Examining the growing trend of remote work and its impact on productivity, collaboration, and work-life balance.";""
98;"Artificial Intelligence Ethics and Governance";"makale";"AI Ethics and Governance";"Debating ethical considerations and regulatory frameworks surrounding the development and deployment of AI technologies.";""
99;"The Rise of Electric Vehicles";"makale";"Electric Vehicle Revolution";"Analyzing the adoption rates and environmental benefits of electric vehicles in the automotive industry.";""
100;"Social Media Influence on Society";"makale";"Social Media Impact";"Investigating the positive and negative impacts of social media platforms on individuals and society as a whole.";""
101;"The Future of Space Exploration";"makale";"Space Exploration Innovations";"Highlighting recent advancements and future prospects in space exploration, including missions to Mars and beyond.";""
102;"The Psychology of Happiness";"makale";"Happiness Psychology";"Exploring the science behind happiness, subjective well-being, and factors that contribute to a fulfilling life.";""
103;"Challenges in Global Health";"makale";"Global Health Challenges";"Addressing key challenges such as infectious diseases, healthcare access, and public health policies on a global scale.";""
104;"The Impact of Social Media on Politics";"makale";"Social Media and Politics";"Examining the role of social media platforms in shaping political discourse, activism, and elections.";""
105;"The Future of Artificial Intelligence";"makale";"AI Future Trends";"Predicting potential future developments and applications of artificial intelligence in various industries.";""
106;"The Psychology of Stress Management";"makale";"Stress Management Psychology";"Strategies and techniques for coping with stress, promoting mental health, and improving overall well-being.";""
107;"The Growing Problem of Cyberbullying";"makale";"Cyberbullying Awareness";"Raising awareness about cyberbullying issues and discussing preventive measures and interventions.";""
108;"Sustainable Agriculture Practices";"makale";"Sustainable Farming Methods";"Exploring environmentally friendly and sustainable practices in agriculture to address food security and climate change.";""
109;"The Role of Women in STEM Fields";"makale";"Women in STEM";"Highlighting the contributions of women in science, technology, engineering, and mathematics (STEM) disciplines.";""
110;"The Psychology of Learning and Memory";"makale";"Learning and Memory Processes";"Understanding cognitive processes related to learning, memory formation, and retention of information.";""
111;"The Future of Urban Transportation";"makale";"Urban Transportation Trends";"Examining innovative transportation solutions for urban areas, including public transit, shared mobility, and smart cities.";""
112;"The Impact of Artificial Intelligence on Jobs";"makale";"AI and Job Market";"Discussing the potential effects of AI adoption on employment, skills development, and workforce trends.";""
113;"Mental Health Challenges in Modern Society";"makale";"Modern Mental Health Issues";"Addressing mental health disorders, stigma, and access to mental healthcare services in contemporary society.";""
114;"Tesla'nın Yeni Elektrikli Otomobil Modeli Tanıtıldı";"haber";"Tesla'nın Yeni Elektrikli Otomobil Modeli Tanıtıldı";"Tesla, en son elektrikli otomobil modelini piyasaya sürdü ve teknoloji dünyasında heyecan yarattı.";""
115;"COVID-19 Aşılaması Hız Kazanıyor";"haber";"COVID-19 Aşılaması Hız Kazanıyor";"Ülkeler, COVID-19 aşılamasını hızlandırarak pandemiye karşı mücadelede yeni adımlar atıyor.";""
116;"Uzay Turizmi İçin Yeni Projeler Geliştiriliyor";"haber";"Uzay Turizmi İçin Yeni Projeler Geliştiriliyor";"Özel şirketler ve devletler, uzay turizmi için yeni projeler ve uzay araçları geliştiriyor.";""
117;"Dünya Genelinde İklim Değişikliği Protestoları Artıyor";"haber";"Dünya Genelinde İklim Değişikliği Protestoları Artıyor";"Çevre aktivistleri, iklim değişikliğine dikkat çekmek ve politika değişiklikleri talep etmek için protesto gösterileri düzenliyor.";""
118;"Apple'ın Yeni iPhone Modeli Bekleniyor";"haber";"Apple'ın Yeni iPhone Modeli Bekleniyor";"Teknoloji devi Apple, yeni iPhone modelini tanıtmak üzere hazırlıklarını tamamlıyor.";""
119;"Bitcoin Fiyatı Yükselişte";"haber";"Bitcoin Fiyatı Yükselişte";"Kripto para birimi Bitcoin, son dönemdeki yükselişiyle dikkatleri üzerine çekiyor.";""
120;"2022 Dünya Kupası Heyecanı Başladı";"haber";"2022 Dünya Kupası Heyecanı Başladı";"Dünya futbolunun en prestijli turnuvası olan Dünya Kupası, heyecanla beklenen maçlarla başladı.";""
121;"Yapay Zeka ve İnsan Sağlığı İlişkisi Üzerine Araştırma Yayınlandı";"haber";"Yapay Zeka ve İnsan Sağlığı İlişkisi Üzerine Araştırma Yayınlandı";"Bir araştırma ekibi, yapay zeka teknolojisinin sağlık alanında kullanımı konusunda önemli bulgulara ulaştı.";""
122;"Dünya Genelinde Covid-19 Vaka Sayıları Azalıyor";"haber";"Dünya Genelinde Covid-19 Vaka Sayıları Azalıyor";"Covid-19 salgınında dünya genelinde vaka sayıları düşüş gösteriyor ancak uzmanlar dikkatli olunması gerektiği uyarısında bulunuyor.";""
123;"Yeni Mars Görevi Başarıyla Tamamlandı";"haber";"Yeni Mars Görevi Başarıyla Tamamlandı";"Uzay ajansları, Mars keşif görevlerinde yeni aşamalara geçerek gezegenin sırlarını çözmeye çalışıyor.";""
124;"Dünya Gıda Güvenliği Raporu Yayınlandı";"haber";"Dünya Gıda Güvenliği Raporu Yayınlandı";"Birleşmiş Milletler tarafından hazırlanan rapor, dünya genelinde gıda güvenliği ve sürdürülebilir tarım konularına odaklanıyor.";""
125;"Hollywood'da Yeni Film Projeleri Duyuruldu";"haber";"Hollywood'da Yeni Film Projeleri Duyuruldu";"Film endüstrisi, yeni projelerle ve devam filmleriyle sektöre canlılık katmaya devam ediyor.";""
126;"Yapay Et Üretimi Çalışmaları Hız Kazanıyor";"haber";"Yapay Et Üretimi Çalışmaları Hız Kazanıyor";"Tarım ve gıda endüstrisinde, yapay et üretimi konusunda yapılan çalışmalar ve teknolojik gelişmeler artıyor.";""
127;"Kripto Para Piyasalarında Volatilite Artıyor";"haber";"Kripto Para Piyasalarında Volatilite Artıyor";"Son dönemde kripto para birimlerinde görülen fiyat dalgalanmaları yatırımcılar arasında dikkat çekiyor.";""
128;"Yapay Zeka Destekli Araçlar Trafiğe Çıkıyor";"haber";"Yapay Zeka Destekli Araçlar Trafiğe Çıkıyor";"Otonom sürüş teknolojisi ve yapay zeka kullanılarak geliştirilen araçlar, trafiğe çıkarak sürücülere yeni olanaklar sunuyor.";""
129;"Türkiye'nin Yenilenebilir Enerji Hedefleri Güncellendi";"haber";"Türkiye'nin Yenilenebilir Enerji Hedefleri Güncellendi";"Ülke, enerji sektöründe daha fazla yenilenebilir enerji kaynağı kullanarak çevresel sürdürülebilirlik hedeflerini güncelledi.";""
130;"Uzayda Yeni Keşifler: Dünya Dışı Gezegenler";"haber";"Uzayda Yeni Keşifler: Dünya Dışı Gezegenler";"Astronomlar, uzay teleskopları ve keşif araçlarıyla yeni dünya dışı gezegenler ve uygun yaşam koşulları arayışına devam ediyor.";""
131;"Robotik Teknolojilerin Endüstriyel Kullanımı Artıyor";"haber";"Robotik Teknolojilerin Endüstriyel Kullanımı Artıyor";"Sanayi sektöründe robotlar ve otomasyon sistemleri, üretim süreçlerinde verimliliği artırıyor.";""
132;"Türkiye'de Yerli Otomobil Üretimine Yatırımlar Artıyor";"haber";"Türkiye'de Yerli Otomobil Üretimine Yatırımlar Artıyor";"Otomotiv sektöründe yerli ve milli üretim için yapılan yatırımlar ve projeler gündemde.";""
133;"Yapay Zeka ve Sağlık Sektöründe Yeni Uygulamalar";"haber";"Yapay Zeka ve Sağlık Sektöründe Yeni Uygulamalar";"Sağlık alanında yapay zeka teknolojileriyle geliştirilen uygulamalar ve tedavi yöntemleri yenilikçi çözümler sunuyor.";""
134;"Oyun Sektöründe Yeni Trendler Beliriyor";"haber";"Oyun Sektöründe Yeni Trendler Beliriyor";"Video oyunları endüstrisinde teknolojik gelişmeler ve oyun tasarımında yeni trendler göze çarpıyor.";""
135;"Dünya Genelinde İşletmelerin Dijital Dönüşümü Hızlanıyor";"haber";"Dünya Genelinde İşletmelerin Dijital Dönüşümü Hızlanıyor";"Şirketler, dijital teknolojiler ve otomasyonla iş süreçlerini dönüştürerek rekabet avantajı elde etmeye odaklanıyor.";""
136;"Sanal Gerçeklik ve Artırılmış Gerçeklik Uygulamaları Yaygınlaşıyor";"haber";"Sanal Gerçeklik ve Artırılmış Gerçeklik Uygulamaları Yaygınlaşıyor";"VR ve AR teknolojileri, eğitimden eğlenceye birçok alanda kullanılarak deneyimleri zenginleştiriyor.";""
137;"Dünya Genelinde Yapay Zeka Yatırımları Artıyor";"haber";"Dünya Genelinde Yapay Zeka Yatırımları Artıyor";"Şirketler ve yatırımcılar, yapay zeka teknolojilerine olan ilgilerini artırarak yeni projelere yatırım yapıyor.";""
138;"Türkiye'de E-Ticaret Sektöründe Büyüme Devam Ediyor";"haber";"Türkiye'de E-Ticaret Sektöründe Büyüme Devam Ediyor";"Online alışveriş ve e-ticaret platformları, dijitalleşme trendiyle birlikte hızla büyümeye devam ediyor.";""
139;"Game of Thrones";"dizi";"Game of Thrones";"George R.R. Martin'in epik fantastik roman serisinden uyarlanan dizi";""
140;"Breaking Bad";"dizi";"Breaking Bad";"Kimya öğretmeni Walter White, kanser teşhisi konulduktan sonra uyuşturucu imalatına yönelir";""
141;"Stranger Things";"dizi";"Stranger Things";"1980'lerde geçen ve gizemli olayları konu alan popüler bilim kurgu dizisi";""
142;"The Mandalorian";"dizi";"The Mandalorian";"Star Wars evreninde geçen ve Mandalorian isimli karakterin maceralarını anlatan dizi";""
143;"Friends";"dizi";"Friends";"Altı arkadaşın yaşamını ve ilişkilerini konu alan komedi dizisi";""
144;"Sherlock";"dizi";"Sherlock";"Ünlü dedektif Sherlock Holmes'ün modern çağdaki maceralarını konu alan dizi";""
145;"The Witcher";"dizi";"The Witcher";"Geralt of Rivia adlı bir canavar avcısının maceralarını konu alan fantastik dizi";""
146;"Money Heist";"dizi";"Money Heist";"Bir grup soyguncunun İspanya Kraliyet Darphanesi'ni soyma planını konu alan gerilim dizisi";""
147;"The Crown";"dizi";"The Crown";"İngiltere Kraliyet ailesinin modern tarihini konu alan dramatik dizi";""
148;"Black Mirror";"dizi";"Black Mirror";"Teknolojinin gelecekteki etkilerini ve insan ilişkilerini konu alan bilim kurgu dizisi";""
149;"Narcos";"dizi";"Narcos";"Kolombiya'da uyuşturucu kartelleriyle mücadeleyi konu alan gerilim dizisi";""
150;"The Office";"dizi";"The Office";"Bir ofis ortamında geçen ve mizahi olayları konu alan komedi dizisi";""
151;"Stranger Things";"dizi";"Stranger Things";"80'lerde geçen gizemli olayları konu alan popüler bilim kurgu dizisi";""
152;"Dark";"dizi";"Dark";"Almanya'da geçen ve zaman yolculuğu temasını işleyen bilim kurgu dizisi";""
153;"The Sopranos";"dizi";"The Sopranos";"Mafya lideri Tony Soprano'nun yaşamını konu alan drama dizisi";""
154;"The Big Bang Theory";"dizi";"The Big Bang Theory";"Dahi bilim adamlarının komik maceralarını konu alan komedi dizisi";""
155;"Fargo";"dizi";"Fargo";"Gerçek olaylardan esinlenen ve suç olaylarını konu alan drama dizisi";""
156;"The Mandalorian";"dizi";"The Mandalorian";"Star Wars evreninde geçen ve Mandalorian isimli karakterin maceralarını anlatan dizi";""
157;"Chernobyl";"dizi";"Chernobyl";"Çernobil nükleer felaketini konu alan dramatik dizi";""
158;"House of Cards";"dizi";"House of Cards";"Amerikan siyasetini ve güç mücadelelerini konu alan politik drama dizisi";""
159;"Vikings";"dizi";"Vikings";"Viking savaşçılarının hikayesini konu alan tarih ve macera dizisi";""
160;"The Walking Dead";"dizi";"The Walking Dead";"Zombi kıyameti sonrası hayatta kalan insanların mücadelesini konu alan korku dizisi";""
161;"Westworld";"dizi";"Westworld";"Yapay zeka temalı bir eğlence parkında yaşanan olayları konu alan bilim kurgu dizisi";""
162;"Breaking Bad";"dizi";"Breaking Bad";"Kimya öğretmeni Walter White, kanser teşhisi konulduktan sonra uyuşturucu imalatına yönelir";""
163;"The Mandalorian";"dizi";"The Mandalorian";"Star Wars evreninde geçen ve Mandalorian isimli karakterin maceralarını anlatan dizi";""
